draw_id,beta,gamma,rho,degree,degree_mean
0,0.1869595759625806,0.113716507740799,0.3368864969643267,0,0.0
0,0.1869595759625806,0.113716507740799,0.3368864969643267,1,0.125
0,0.1869595759625806,0.113716507740799,0.3368864969643267,2,0.575
0,0.1869595759625806,0.113716507740799,0.3368864969643267,3,1.725
0,0.1869595759625806,0.113716507740799,0.3368864969643267,4,4.125
0,0.1869595759625806,0.113716507740799,0.3368864969643267,5,8.475
0,0.1869595759625806,0.113716507740799,0.3368864969643267,6,13.25
0,0.1869595759625806,0.113716507740799,0.3368864969643267,7,18.85
0,0.1869595759625806,0.113716507740799,0.3368864969643267,8,21.4
0,0.1869595759625806,0.113716507740799,0.3368864969643267,9,24.6
0,0.1869595759625806,0.113716507740799,0.3368864969643267,10,24.75
0,0.1869595759625806,0.113716507740799,0.3368864969643267,11,22.9
0,0.1869595759625806,0.113716507740799,0.3368864969643267,12,18.075
0,0.1869595759625806,0.113716507740799,0.3368864969643267,13,13.6
0,0.1869595759625806,0.113716507740799,0.3368864969643267,14,9.925
0,0.1869595759625806,0.113716507740799,0.3368864969643267,15,6.875
0,0.1869595759625806,0.113716507740799,0.3368864969643267,16,4.575
0,0.1869595759625806,0.113716507740799,0.3368864969643267,17,2.9
0,0.1869595759625806,0.113716507740799,0.3368864969643267,18,1.55
0,0.1869595759625806,0.113716507740799,0.3368864969643267,19,0.85
0,0.1869595759625806,0.113716507740799,0.3368864969643267,20,0.45
0,0.1869595759625806,0.113716507740799,0.3368864969643267,21,0.2
0,0.1869595759625806,0.113716507740799,0.3368864969643267,22,0.125
0,0.1869595759625806,0.113716507740799,0.3368864969643267,23,0.025
0,0.1869595759625806,0.113716507740799,0.3368864969643267,24,0.025
0,0.1869595759625806,0.113716507740799,0.3368864969643267,25,0.025
0,0.1869595759625806,0.113716507740799,0.3368864969643267,26,0.025
0,0.1869595759625806,0.113716507740799,0.3368864969643267,27,0.0
0,0.1869595759625806,0.113716507740799,0.3368864969643267,28,0.0
0,0.1869595759625806,0.113716507740799,0.3368864969643267,29,0.0
0,0.1869595759625806,0.113716507740799,0.3368864969643267,30,0.0
1,0.170264212815955,0.117521913008181,0.3336530598302267,0,0.0
1,0.170264212815955,0.117521913008181,0.3336530598302267,1,0.0
1,0.170264212815955,0.117521913008181,0.3336530598302267,2,0.6
1,0.170264212815955,0.117521913008181,0.3336530598302267,3,1.575
1,0.170264212815955,0.117521913008181,0.3336530598302267,4,4.25
1,0.170264212815955,0.117521913008181,0.3336530598302267,5,8.475
1,0.170264212815955,0.117521913008181,0.3336530598302267,6,13.525
1,0.170264212815955,0.117521913008181,0.3336530598302267,7,18.4
1,0.170264212815955,0.117521913008181,0.3336530598302267,8,22.575
1,0.170264212815955,0.117521913008181,0.3336530598302267,9,25.05
1,0.170264212815955,0.117521913008181,0.3336530598302267,10,22.275
1,0.170264212815955,0.117521913008181,0.3336530598302267,11,21.175
1,0.170264212815955,0.117521913008181,0.3336530598302267,12,18.0
