draw_id,beta,gamma,rho,time,rewiring_mean
0,0.1869595759625806,0.113716507740799,0.3368864969643267,0,0.0
0,0.1869595759625806,0.113716507740799,0.3368864969643267,1,36.325
0,0.1869595759625806,0.113716507740799,0.3368864969643267,2,50.1
0,0.1869595759625806,0.113716507740799,0.3368864969643267,3,69.05
0,0.1869595759625806,0.113716507740799,0.3368864969643267,4,85.175
0,0.1869595759625806,0.113716507740799,0.3368864969643267,5,92.875
0,0.1869595759625806,0.113716507740799,0.3368864969643267,6,78.4
0,0.1869595759625806,0.113716507740799,0.3368864969643267,7,53.025
0,0.1869595759625806,0.113716507740799,0.3368864969643267,8,28.1
0,0.1869595759625806,0.113716507740799,0.3368864969643267,9,14.175
0,0.1869595759625806,0.113716507740799,0.3368864969643267,10,6.325
0,0.1869595759625806,0.113716507740799,0.3368864969643267,11,2.425
0,0.1869595759625806,0.113716507740799,0.3368864969643267,12,1.375
0,0.1869595759625806,0.113716507740799,0.3368864969643267,13,0.8
0,0.1869595759625806,0.113716507740799,0.3368864969643267,14,0.475
0,0.1869595759625806,0.113716507740799,0.3368864969643267,15,0.225
0,0.1869595759625806,0.113716507740799,0.3368864969643267,16,0.075
0,0.1869595759625806,0.113716507740799,0.3368864969643267,17,0.15
0,0.1869595759625806,0.113716507740799,0.3368864969643267,18,0.025
0,0.1869595759625806,0.113716507740799,0.3368864969643267,19,0.0
0,0.1869595759625806,0.113716507740799,0.3368864969643267,20,0.025
0,0.1869595759625806,0.113716507740799,0.3368864969643267,21,0.0
0,0.1869595759625806,0.113716507740799,0.3368864969643267,22,0.0
0,0.1869595759625806,0.113716507740799,0.3368864969643267,23,0.0
0,0.1869595759625806,0.113716507740799,0.3368864969643267,24,0.0
0,0.1869595759625806,0.113716507740799,0.3368864969643267,25,0.0
0,0.1869595759625806,0.113716507740799,0.3368864969643267,26,0.0
0,0.1869595759625806,0.113716507740799,0.3368864969643267,27,0.0
0,0.1869595759625806,0.113716507740799,0.3368864969643267,28,0.0
0,0.1869595759625806,0.113716507740799,0.3368864969643267,29,0.0
0,0.1869595759625806,0.113716507740799,0.3368864969643267,30,0.0
0,0.1869595759625806,0.113716507740799,0.3368864969643267,31,0.0
0,0.1869595759625806,0.113716507740799,0.3368864969643267,32,0.0
0,0.1869595759625806,0.113716507740799,0.3368864969643267,33,0.0
0,0.1869595759625806,0.113716507740799,0.3368864969643267,34,0.0
0,0.1869595759625806,0.113716507740799,0.3368864969643267,35,0.0
0,0.1869595759625806,0.113716507740799,0.3368864969643267,36,0.0
0,0.1869595759625806,0.113716507740799,0.3368864969643267,37,0.0
0,0.1869595759625806,0.113716507740799,0.3368864969643267,38,0.0
0,0.1869595759625806,0.113716507740799,0.3368864969643267,39,0.0
0,0.1869595759625806,0.113716507740799,0.3368864969643267,40,0.0
0,0.1869595759625806,0.113716507740799,0.3368864969643267,41,0.0
0,0.1869595759625806,0.113716507740799,0.3368864969643267,42,0.0
0,0.1869595759625806,0.113716507740799,0.3368864969643267,43,0.0
0,0.1869595759625806,0.113716507740799,0.3368864969643267,44,0.0
0,0.1869595759625806,0.113716507740799,0.3368864969643267,45,0.0
0,0.1869595759625806,0.113716507740799,0.3368864969643267,46,0.0
0,0.1869595759625806,0.113716507740799,0.3368864969643267,47,0.0
0,0.1869595759625806,0.113716507740799,0.3368864969643267,48,0.0
0,0.1869595759625806,0.113716507740799,0.3368864969643267,49,0.0
0,0.1869595759625806,0.113716507740799,0.3368864969643267,50,0.0
0,0.1869595759625806,0.113716507740799,0.3368864969643267,51,0.0
0,0.1869595759625806,0.113716507740799,0.3368864969643267,52,0.0
0,0.1869595759625806,0.113716507740799,0.3368864969643267,53,0.0
0,0.1869595759625806,0.113716507740799,0.3368864969643267,54,0.0
0,0.1869595759625806,0.113716507740799,0.3368864969643267,55,0.0
0,0.1869595759625806,0.113716507740799,0.3368864969643267,56,0.0
0,0.1869595759625806,0.113716507740799,0.3368864969643267,57,0.0
0,0.1869595759625806,0.113716507740799,0.3368864969643267,58,0.0
0,0.1869595759625806,0.113716507740799,0.3368864969643267,59,0.0
0,0.1869595759625806,0.113716507740799,0.3368864969643267,60,0.0
0,0.1869595759625806,0.113716507740799,0.3368864969643267,61,0.0
0,0.1869595759625806,0.113716507740799,0.3368864969643267,62,0.0
0,0.1869595759625806,0.113716507740799,0.3368864969643267,63,0.0
0,0.1869595759625806,0.113716507740799,0.3368864969643267,64,0.0
0,0.1869595759625806,0.113716507740799,0.3368864969643267,65,0.0
0,0.1869595759625806,0.113716507740799,0.3368864969643267,66,0.0
0,0.1869595759625806,0.113716507740799,0.3368864969643267,67,0.0
0,0.1869595759625806,0.113716507740799,0.3368864969643267,68,0.0
0,0.1869595759625806,0.113716507740799,0.3368864969643267,69,0.0
0,0.1869595759625806,0.113716507740799,0.3368864969643267,70,0.0
0,0.1869595759625806,0.113716507740799,0.3368864969643267,71,0.0
0,0.1869595759625806,0.113716507740799,0.3368864969643267,72,0.0
0,0.1869595759625806,0.113716507740799,0.3368864969643267,73,0.0
0,0.1869595759625806,0.113716507740799,0.3368864969643267,74,0.0
0,0.1869595759625806,0.113716507740799,0.3368864969643267,75,0.0
0,0.1869595759625806,0.113716507740799,0.3368864969643267,76,0.0
0,0.1869595759625806,0.113716507740799,0.3368864969643267,77,0.0
