beta,gamma,rho,source_distance,kernel_weight
0.15479596412045912,0.0806851635602235,0.30115832149625194,0.1101911989518128,0.7408372227615968
0.15586019026092296,0.08145352008339987,0.3038216805846799,0.1111835948510768,0.7406714373003073
0.1558810457597446,0.08163387305371299,0.3038631726992077,0.1203261679056253,0.7390741940537596
0.15230072930450458,0.0797514311220651,0.29977331377168265,0.1222194210570909,0.7387276684088118
0.1575348294195231,0.08325731868325821,0.307981576444153,0.1274261268033273,0.7377467787157115
0.1608902724717783,0.08144274732781895,0.30791676530127093,0.1279848331629202,0.7376390934074684
0.1525495408271737,0.08267200769153767,0.2985672885010021,0.1292420878099027,0.7373950466846864
0.15677977162584913,0.08018150403589916,0.30793984086864695,0.1298850760795859,0.7372693136774254
0.15427326061738073,0.08389894577999785,0.30489930769986007,0.1361413008506049,0.7360133694489156
0.150511986141797,0.08078312428936399,0.3057655954440565,0.1406066011122498,0.7350808276307257
0.14905183892275553,0.08109563251980081,0.29952976208382553,0.1412853152696505,0.734936449025592
0.15434294873454044,0.08238849928490871,0.30226733776704245,0.143761782904207,0.7344037491541641
0.15481205647737353,0.08131683184349611,0.3043936344534922,0.1441508693784699,0.7343192134459496
0.15527643865499546,0.08113362294431391,0.3021036162016002,0.1495082260439068,0.7331320040408789
0.15026148570675243,0.08179423470431268,0.29776767445101426,0.1501523675721587,0.732986342719242
0.15483834051780718,0.07986050594477465,0.302491987014137,0.1522460691943007,0.7325085630751322
0.15870348462468584,0.08257249035093918,0.314823025639952,0.1531094350080111,0.7323096176703923
0.15534713701110311,0.08219505827780678,0.3049886952506225,0.1563438126449499,0.7315543183711706
0.15728797479384654,0.08287641533612869,0.30745327367528263,0.1567538385663229,0.7314574405340718
0.1564339353015695,0.08266837432507676,0.3079795128344529,0.1574800987485365,0.731285222497859
0.15500780134213113,0.08051674764642815,0.3035489679755443,0.1605079296419526,0.7305586554503284
0.15900786916075638,0.08178606333790372,0.3096536790178777,0.1612031863440101,0.7303898662861803
