bandwidth_quantile,bandwidth,effective_samples,beta_mean,beta_std,gamma_mean,gamma_std,rho_mean,rho_std
0.25,0.6481272366539655,2500,0.1583738562356787,0.004456633073458703,0.08335917647043971,0.0029361551140776165,0.3080975692064482,0.005821212519870698
0.5,0.8089175668224476,5000,0.15812792723736355,0.004337132969103278,0.08307136004467064,0.0024986646019285906,0.3076902376184991,0.005567192657233321
0.75,0.9140986996930068,7500,0.15779561390317232,0.004280143573555425,0.08288968951923933,0.0022664176758865366,0.3072730236651555,0.005441368620657494
1.0,0.9969284181320072,9999,0.15756946333910796,0.004256666516252054,0.08277376337316263,0.0021521926022485655,0.30701299998560266,0.005392003667881327
