method,role,acceptance_or_retention_rate,source_file,beta_mean,beta_std,gamma_mean,gamma_std,rho_mean,rho_std
Rejection ABC,baseline posterior,0.01,rejection_abc/final_accepted_infected_plus_rewiring.csv,0.16866360849311557,0.022740903887546158,0.08900916400534573,0.0159528752424464,0.3175904426666091,0.05691786999306162
ABC-MCMC,primary final posterior,0.3903999999999999,abc_mcmc/abc_mcmc_posterior_infected_plus_rewiring.csv,0.167204936647935,0.020911298864096168,0.0877593787474007,0.014664152812286254,0.31716157349174023,0.0533286965331337
SMC-ABC,sequential robustness check,0.0331994289698217,smc_abc/smc_abc_stage_04.csv,0.16642092828454996,0.02011025724939895,0.0875975462675879,0.013981074080053928,0.31573503851729706,0.05012998880545296
Local regression adjustment,exploratory post-processing diagnostic,,regression_adjustment/regression_adjusted_posterior.csv,0.1575694633391079,0.004256666516252054,0.08277376337316258,0.002152192602248566,0.3070129999856026,0.005392003667881328
Synthetic likelihood MCMC,exploratory likelihood approximation,0.24525,synthetic_likelihood/synthetic_likelihood_posterior.csv,0.1622157805122436,0.021080978134539807,0.08096274116369678,0.005151246281014751,0.31195117649476856,0.02829142568729316
