epsilon_quantile,proposal_factor,acceptance_rate,retained_samples,beta_mean,gamma_mean,rho_mean,beta_std,gamma_std,rho_std
0.75,0.8,0.4449,3200,0.16694859121688807,0.08733806794914595,0.31645508940780787,0.020187382825331914,0.01392166050187819,0.05168575126837789
0.75,0.9,0.39039999999999997,3200,0.16619388086560266,0.08712319215969552,0.3155491769948053,0.020142838165366137,0.014256609565141158,0.05106401310210262
0.9,0.8,0.47245,3200,0.1676883507421667,0.088378207262256,0.31729830365074096,0.021125023814194392,0.015349516710817156,0.054832028423756465
0.9,0.9,0.4229,3200,0.16798892376708274,0.08819804761850555,0.3193437239136069,0.021905225523787715,0.014983573360212525,0.05494864585406052
