beta,gamma,rho,distance,infected_peak,infected_time_of_peak,infected_auc,infected_extinction_time,rewiring_peak,rewiring_time_of_peak,rewiring_auc,rewiring_zero_fraction,weight,stage,epsilon
0.07293644915276451,0.0643866205391204,0.4726578958336134,3.5159583209313503,0.08837500000000001,7.425,2.233,58.875,36.575,2.1,247.8,0.9205223880597014,0.001,1,3.741721898619616
0.39462451583338715,0.17316030666581514,0.6206464586640462,2.437020479619657,0.54025,5.425,4.768625,33.55,168.725,3.375,643.6,0.9621890547263682,0.001,1,3.741721898619616
0.2643923213845538,0.16911730614221346,0.16277245461438233,2.7152430442971527,0.5671250000000001,5.025,4.91875,35.7,51.85,3.025,165.65,0.9626865671641791,0.001,1,3.741721898619616
0.4204296550486898,0.1056378159238374,0.20920366959314649,2.8746429229132984,0.7463749999999999,4.075,8.538124999999999,54.15,73.925,2.125,164.9,0.9784825870646767,0.001,1,3.741721898619616
0.474774267512188,0.0843246589247728,0.5821854736022308,2.7857999115043186,0.7847500000000001,4.6,10.923124999999999,66.85,195.775,2.75,536.05,0.9771144278606965,0.001,1,3.741721898619616
0.2868438731828833,0.12003029984326519,0.5954658438932262,1.9829126578171323,0.6198750000000001,7.025,7.417500000000001,49.875,170.275,4.525,786.175,0.9533582089552238,0.001,1,3.741721898619616
0.23648604036891713,0.19903186558851027,0.3654456670493601,1.8380676142469072,0.45124999999999993,6.675,4.000249999999999,31.5,96.425,4.35,447.575,0.9447761194029851,0.001,1,3.741721898619616
0.15193833401378215,0.1359334255230183,0.31835291389883547,1.379939381862155,0.47937499999999994,9.35,6.214625,45.9,85.8,6.5,553.0,0.9205223880597014,0.001,1,3.741721898619616
0.4902832049625783,0.08078538635197907,0.44782325582186167,2.7322991157460215,0.8082499999999999,4.025,11.396874999999998,75.0,157.9,2.15,372.625,0.9789800995024877,0.001,1,3.741721898619616
0.2541259295530278,0.12464772341768744,0.6352938229210259,2.274780758373825,0.5272500000000001,9.625,6.8481250000000005,48.8,151.875,6.625,976.125,0.932587064676617,0.001,1,3.741721898619616
0.2978079743914353,0.0717961721157173,0.3362937345442809,1.9951167824069447,0.7866249999999999,5.175,12.969,82.7,119.675,3.05,370.825,0.968407960199005,0.001,1,3.741721898619616
0.2673575447103996,0.13360093328142117,0.6453408078439553,2.220693426701806,0.520125,8.95,6.4965,46.9,156.75,6.225,948.275,0.9389303482587064,0.001,1,3.741721898619616
0.20023529946637192,0.1550917254279014,0.47432795755149676,1.7087080802832884,0.43200000000000005,9.15,5.169,39.825,110.875,6.375,720.225,0.9269900497512438,0.001,1,3.741721898619616
0.46554538341582197,0.1282406482517409,0.19696853069113074,3.0995946681761413,0.71875,3.65,6.8315,44.875,69.4,2.025,141.525,0.9805970149253731,0.001,1,3.741721898619616
