stage,epsilon_quantile,epsilon,acceptance_rate,mean_attempts,beta_mean,gamma_mean,rho_mean,beta_std,gamma_std,rho_std
1,0.75,3.741721898619616,0.75,1.0,0.3019381427309262,0.12108239216990536,0.386446643309924,0.11688691816361403,0.04459556929942893,0.2137671232789902
2,0.5,2.650817546709748,0.17568517217146873,5.692,0.26807854527703406,0.11978130992984196,0.40487021720214367,0.09084786372199233,0.04315928872348586,0.18141639052116545
3,0.25,1.8107173404370944,0.08264462809917356,12.1,0.1997530549936068,0.11164255234916064,0.34989241499900026,0.047798383986091195,0.03369591104553263,0.11031482126949821
4,0.1,0.9028721458215555,0.03319942896982172,30.121,0.1664209282845501,0.087597546267588,0.3157350385172971,0.020110257249398942,0.013981074080053928,0.0501299888054529
