beta,gamma,rho,distance,infected_peak,infected_time_of_peak,infected_auc,infected_extinction_time,rewiring_peak,rewiring_time_of_peak,rewiring_auc,rewiring_zero_fraction,weight,stage,epsilon
0.1781948516571329,0.06524194279122003,0.31137268691412257,0.8734894405737522,0.735,7.875,14.50675,93.25,106.375,4.825,498.125,0.949129353233831,0.0010977025126635844,4,0.9028721458215555
0.14273940716552813,0.07754160723249703,0.30275128637812176,0.4159457204710001,0.656875,9.375,11.835874999999998,78.9,99.55,6.075,577.925,0.9291044776119403,0.0011334337577531268,4,0.9028721458215555
0.19735358367245895,0.08448481270588794,0.3262123067456341,0.674687938621183,0.69425,7.525,10.714499999999997,75.025,106.525,4.7,490.7,0.9486318407960198,0.0009183500876634155,4,0.9028721458215555
0.14084526501435968,0.06574178493860541,0.256573051403703,0.5828947741180777,0.708125,9.1,14.073249999999998,87.95,91.45,5.65,479.025,0.9381840796019901,0.001191972549620148,4,0.9028721458215555
0.15682819950729365,0.0791129903407373,0.25974981576939393,0.5426967252091196,0.6805,8.225,11.735999999999999,74.625,87.975,5.2,440.525,0.9436567164179106,0.000994745189111674,4,0.9028721458215555
0.1679772100069479,0.11257087394929077,0.3025190287937921,0.8416055853133291,0.5703750000000001,8.35,7.8378749999999995,52.95,87.6,5.1,493.725,0.9342039800995025,0.000875469635117811,4,0.9028721458215555
0.19408618142621922,0.10691970000226172,0.39368248708395315,0.8590745139817758,0.6122500000000001,7.825,8.296375000000001,54.775,121.475,5.275,606.15,0.941542288557214,0.0008820663737806642,4,0.9028721458215555
0.1984835551704643,0.09556577684747311,0.42298896975929934,0.8844054945796838,0.63425,8.25,9.33875,59.95,127.95,5.4,667.375,0.9426616915422887,0.0009904674342792637,4,0.9028721458215555
0.1665059593153595,0.10309444883732483,0.32382805658517744,0.5740839728924182,0.5988749999999999,8.5,8.631125,58.275,99.0,5.475,543.05,0.9347014925373134,0.0008898181085271885,4,0.9028721458215555
0.15889965011235346,0.06333234049186508,0.2452936638705865,0.8737331367423532,0.734375,8.375,14.985125,90.45,88.925,5.075,426.75,0.9450248756218906,0.001165064502730856,4,0.9028721458215555
0.17144252760694859,0.09743088381707429,0.2746366075759446,0.836286917505363,0.6355000000000001,7.45,9.275875,64.175,89.95,4.5,434.2,0.9431592039800994,0.000881973799087142,4,0.9028721458215555
0.20326942471892911,0.11096237409011836,0.3878066897773327,0.8511823271590375,0.59825,7.925,8.012125,54.35,114.425,4.9,580.55,0.9436567164179104,0.0008451741834631291,4,0.9028721458215555
0.1610046707195708,0.10363364392020467,0.37104076344385706,0.8713909796507673,0.5862499999999999,9.55,8.723499999999998,60.625,110.05,6.3,658.425,0.9299751243781096,0.0010543202673555885,4,0.9028721458215555
0.192582898471093,0.10996955084585638,0.3136588517402977,0.8804667214669674,0.6097499999999999,7.45,8.092375,56.975,98.25,4.675,467.45,0.9449004975124378,0.0008351083561490719,4,0.9028721458215555
