beta,gamma,rho,distance,infected_peak,infected_time_of_peak,infected_auc,infected_extinction_time,rewiring_peak,rewiring_time_of_peak,rewiring_auc,rewiring_zero_fraction,weight,stage,epsilon
0.16587398342375528,0.07188461707273763,0.19236859176820836,1.330099699899998,0.717125,7.525,12.829624999999998,85.7,69.075,4.5,306.85,0.9491293532338307,0.0010791612466602746,3,1.8107173404370944
0.23705355287907537,0.1603729295127464,0.32949868295917734,1.7882537438447645,0.530375,6.225,5.105875,37.2,95.225,3.8,396.625,0.9512437810945272,0.0009590956349907498,3,1.8107173404370944
0.21830259939769983,0.12185385545990728,0.26662621100937367,1.603929520372733,0.61975,6.375,7.268625,47.325,87.65,3.8,347.3,0.9542288557213929,0.0008532760813270039,3,1.8107173404370944
0.2974437631851122,0.13342178030459137,0.45949195161858114,1.796106368662584,0.6208750000000001,5.825,6.518625,42.95,138.575,3.65,534.85,0.9592039800995025,0.0007919778370695464,3,1.8107173404370944
0.23096616743559023,0.18641361061156075,0.37734947127229157,1.6948256151388912,0.45462499999999995,6.975,4.377375,33.525,99.6,4.6,487.95,0.9425373134328356,0.001264169342318374,3,1.8107173404370944
0.2661521694782669,0.1553506243383141,0.430570599422179,1.743253578461336,0.5436249999999999,6.225,5.335625,36.5,122.375,3.75,522.175,0.9516169154228855,0.000868063914028479,3,1.8107173404370944
0.11652559998442236,0.09489210260165087,0.2398613621436969,1.440333335626521,0.553375,11.15,9.441875,65.775,74.45,7.15,523.6,0.9098258706467662,0.001192021457618541,3,1.8107173404370944
0.12852980724417157,0.08859736050940877,0.2298153675381918,0.8986187538441756,0.60575,9.75,10.272625,72.2,74.45,6.575,460.15,0.9238805970149254,0.0011228688886637474,3,1.8107173404370944
0.2361761052526378,0.09277957494898621,0.3125841516876266,1.2976676675993564,0.6945,6.35,9.832999999999998,67.0,103.8,3.85,401.45,0.9555970149253732,0.0008328226743852274,3,1.8107173404370944
0.2557066846439289,0.09117814814002484,0.4665293972247955,1.5558683758531187,0.697,6.525,10.007499999999999,65.55,151.975,4.05,622.675,0.959825870646766,0.0008668433322252735,3,1.8107173404370944
0.20616148447223337,0.08731247735738895,0.5364213463370187,1.784443282220482,0.655125,8.925,10.485125,68.2,157.75,6.125,889.425,0.9375621890547265,0.0011321010559258873,3,1.8107173404370944
0.1860069897728494,0.0919399152444127,0.5015416150561792,1.6923641761193975,0.6225,9.725,9.922625,68.075,143.125,6.875,871.7,0.934452736318408,0.0011211347512329977,3,1.8107173404370944
0.22474942593403793,0.14095207022661496,0.3984314302707643,1.2870050887262678,0.538625,7.35,6.02075,41.125,109.675,4.75,549.1,0.9449004975124378,0.0008666239916012734,3,1.8107173404370944
